timestamp_utc,event_type,instrument,units,nav,regime_bull,signal_json,target_position_json,current_positions_json,target_units_json,order_deltas_json,response_json
2026-04-09 12:41:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,1,99995.03604896182,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11410, ""GBP_USD"": -9940, ""USD_JPY"": 13333}","{""EUR_USD"": -11410, ""GBP_USD"": -9939, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:41:00+00:00""}"
2026-04-09 12:41:00+00:00,HISTORICAL_REPLAY_FILL,USD_JPY,-1,99995.03604896182,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11410, ""GBP_USD"": -9939, ""USD_JPY"": 13333}","{""EUR_USD"": -11410, ""GBP_USD"": -9939, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""USD_JPY"", ""units"": -1, ""timestamp_utc"": ""2026-04-09 12:41:00+00:00""}"
2026-04-09 12:42:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,-1,99999.25279780032,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11410, ""GBP_USD"": -9939, ""USD_JPY"": 13332}","{""EUR_USD"": -11411, ""GBP_USD"": -9941, ""USD_JPY"": 13333}","{""EUR_USD"": -1, ""GBP_USD"": -2, ""USD_JPY"": 1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": -1, ""timestamp_utc"": ""2026-04-09 12:42:00+00:00""}"
2026-04-09 12:42:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,-2,99999.25279780032,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11411, ""GBP_USD"": -9939, ""USD_JPY"": 13332}","{""EUR_USD"": -11411, ""GBP_USD"": -9941, ""USD_JPY"": 13333}","{""EUR_USD"": -1, ""GBP_USD"": -2, ""USD_JPY"": 1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": -2, ""timestamp_utc"": ""2026-04-09 12:42:00+00:00""}"
2026-04-09 12:42:00+00:00,HISTORICAL_REPLAY_FILL,USD_JPY,1,99999.25279780032,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11411, ""GBP_USD"": -9941, ""USD_JPY"": 13332}","{""EUR_USD"": -11411, ""GBP_USD"": -9941, ""USD_JPY"": 13333}","{""EUR_USD"": -1, ""GBP_USD"": -2, ""USD_JPY"": 1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""USD_JPY"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:42:00+00:00""}"
2026-04-09 12:43:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,-5709,100006.06130972518,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11411, ""GBP_USD"": -9941, ""USD_JPY"": 13333}","{""EUR_USD"": -17120, ""GBP_USD"": -14914, ""USD_JPY"": 20001}","{""EUR_USD"": -5709, ""GBP_USD"": -4973, ""USD_JPY"": 6668}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": -5709, ""timestamp_utc"": ""2026-04-09 12:43:00+00:00""}"
2026-04-09 12:43:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,-4973,100006.06130972518,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17120, ""GBP_USD"": -9941, ""USD_JPY"": 13333}","{""EUR_USD"": -17120, ""GBP_USD"": -14914, ""USD_JPY"": 20001}","{""EUR_USD"": -5709, ""GBP_USD"": -4973, ""USD_JPY"": 6668}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": -4973, ""timestamp_utc"": ""2026-04-09 12:43:00+00:00""}"
2026-04-09 12:43:00+00:00,HISTORICAL_REPLAY_FILL,USD_JPY,6668,100006.06130972518,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17120, ""GBP_USD"": -14914, ""USD_JPY"": 13333}","{""EUR_USD"": -17120, ""GBP_USD"": -14914, ""USD_JPY"": 20001}","{""EUR_USD"": -5709, ""GBP_USD"": -4973, ""USD_JPY"": 6668}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""USD_JPY"", ""units"": 6668, ""timestamp_utc"": ""2026-04-09 12:43:00+00:00""}"
2026-04-09 12:44:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,-1,100006.84917388568,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17120, ""GBP_USD"": -14914, ""USD_JPY"": 20001}","{""EUR_USD"": -17121, ""GBP_USD"": -14915, ""USD_JPY"": 20001}","{""EUR_USD"": -1, ""GBP_USD"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": -1, ""timestamp_utc"": ""2026-04-09 12:44:00+00:00""}"
2026-04-09 12:44:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,-1,100006.84917388568,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17121, ""GBP_USD"": -14914, ""USD_JPY"": 20001}","{""EUR_USD"": -17121, ""GBP_USD"": -14915, ""USD_JPY"": 20001}","{""EUR_USD"": -1, ""GBP_USD"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": -1, ""timestamp_utc"": ""2026-04-09 12:44:00+00:00""}"
2026-04-09 12:45:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,-1,100007.74485093993,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17121, ""GBP_USD"": -14915, ""USD_JPY"": 20001}","{""EUR_USD"": -17122, ""GBP_USD"": -14916, ""USD_JPY"": 20001}","{""EUR_USD"": -1, ""GBP_USD"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": -1, ""timestamp_utc"": ""2026-04-09 12:45:00+00:00""}"
