timestamp_utc,nav,benchmark_index,regime_bull,signal_json,target_position_json,current_positions_json,target_units_json,order_deltas_json
2026-04-09 13:19:00+00:00,100003.22680713037,0.9995419967665478,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11406, ""GBP_USD"": 9933, ""USD_JPY"": -13333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""EUR_USD"": -1, ""GBP_USD"": -1}"
2026-04-09 13:20:00+00:00,100002.3570204476,0.9995914068760915,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}",{}
2026-04-09 13:21:00+00:00,100001.09945220318,0.9996905366823314,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}",{}
2026-04-09 13:22:00+00:00,100000.04728607349,0.9997523302779765,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}",{}
2026-04-09 13:23:00+00:00,99994.60163055224,0.9999238415604778,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""EUR_USD"": 11405, ""GBP_USD"": 9933, ""USD_JPY"": -13332}","{""GBP_USD"": 1, ""USD_JPY"": 1}"
2026-04-09 13:24:00+00:00,99998.10164271234,0.9998759793866966,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9933, ""USD_JPY"": -13332}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""GBP_USD"": -1, ""USD_JPY"": -1}"
2026-04-09 13:25:00+00:00,99996.10485734185,0.9999122630009729,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13332}","{""USD_JPY"": 1}"
2026-04-09 13:26:00+00:00,99996.43300826436,0.9999187024137457,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13332}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13332}",{}
2026-04-09 13:27:00+00:00,99993.01058939345,0.999997832889932,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13332}","{""EUR_USD"": 11406, ""GBP_USD"": 9933, ""USD_JPY"": -13332}","{""EUR_USD"": 1, ""GBP_USD"": 1}"
2026-04-09 13:28:00+00:00,99996.84463386319,0.9999126964229865,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11406, ""GBP_USD"": 9933, ""USD_JPY"": -13332}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13332}","{""EUR_USD"": -1, ""GBP_USD"": -1}"
2026-04-09 13:29:00+00:00,99990.77676782112,1.0000464380728793,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13332}","{""EUR_USD"": 11406, ""GBP_USD"": 9933, ""USD_JPY"": -13332}","{""EUR_USD"": 1, ""GBP_USD"": 1}"
2026-04-09 13:30:00+00:00,99993.14869965463,0.9999791957433501,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11406, ""GBP_USD"": 9933, ""USD_JPY"": -13332}","{""EUR_USD"": 11406, ""GBP_USD"": 9933, ""USD_JPY"": -13332}",{}
2026-04-09 13:31:00+00:00,100000.22610213811,0.9998523269282434,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11406, ""GBP_USD"": 9933, ""USD_JPY"": -13332}","{""EUR_USD"": 11405, ""GBP_USD"": 9931, ""USD_JPY"": -13333}","{""EUR_USD"": -1, ""GBP_USD"": -2, ""USD_JPY"": -1}"
